perplex |  v. 使...困惑, 使...更复杂, 使...为难
associate |  vt.（使）发生联系； （使）联合； 结交； 联想 // vi.联盟； 陪伴同事 // n.合伙人； 伴侣，同志； 非正式会员 // adj.联合的； 合伙的； 非正式的； （性质上）有密切联系的
aluminum |  n. 铝
outskirts |  n. 郊区 // 名词outskirt的复数形式
weird |  adj. 怪异的，离奇的 // n.命运；预言者
successive |  adj. 接连的, 连续的, 接二连三的
eventually |  adv. 终于, 最后
pure |  adj. 纯的, 纯洁的, 纯理论的, 抽象的, 完全的
intensive |  adj. 强烈的, 密集的, 精细的, 强调的 // n. (语法)强调成份
ruthless |  adj. 残忍的, 无情的
conform |  vt. 使一致,遵守,使顺从 // vi. 一致,符合
copyright |  adj. 版权(的) // n. 版权,著作权
arrow |  n. 箭，箭头 // vi. 快且笔直的前进有如穿梭的箭
tragedy |  n. 悲剧, 惨事, 灾难
claim |  n. 要求,要求权;主张,断言,声称;要求物 // vt. 要求,请求；主张,声称,断言
expend |  v. 花费,消耗,支出
policy |  n. 政策, 方针, 保险单
orchard |  n. 果园
path |  n.小路，路； 路线，路程； 〈比喻〉（人生的）道路； （思想，行为，生活的）途径
identity |  n. 身份,一致，特征
quartz |  n. 石英
qualification |  n. 资格, 条件, 限制
bone |  n. 骨,骨骼,核心 // vt. 除去骨头,往衣服里加撑条,磨光表面 // vi. 努力学习 // adv. 非常地,极其地
stupid |  adj. 愚蠢的,笨拙的，麻木的，无趣味的 // n. 傻瓜
forecast |  n. 预测,预报 // vt. &vi. 预测
smooth |  adj. 平稳的,流畅的,安祥的,圆滑的,搅拌均匀的 // vt. 使光滑,磨光,安慰,理顺(羽毛) // vi. 变光滑
apple |  n. 苹果
grieve |  v. 使...悲伤
prove |  v. 证明, 查验, 显示
visitor |  n. 参观者, 访问者，访客
future |  adj. 将来的 // n. 将来,未来 // n. 期货
patriotic |  adj. 爱国的
lady |  n. 夫人, 女士
superiority |  n. 优越性, 优势
brass |  n. 黄铜(制品),铜管（乐器） // adj. 黄铜的
slip |  vi.滑，滑脱； 犯过失，出错； （时间）不知不觉地过去； （健康状况等）变差 // vt.使顺利滑动； 摆脱； 放松，松开 // n.跌倒，失足； 纸条； 失误，口误； 事故 // adj.滑动的； 可拆卸的； 打有活结的
basketball |  n. 篮球，篮球运动
government |  n. 政府,政体,统治
puff |  n. 一阵喷烟,粉扑,泡夫 // vt. 喷出,喘息,夸张,膨胀 // vi. 喷出,膨胀,骄傲 // adj. 吹嘘的
beautiful |  adj.美丽的, 漂亮的
sight |  n. 景观, 视力, 眼界 // vt. 看见, 观看 // vi. 瞄准
extension |  n. 延长,扩充,范围,分机号码
must |  aux.必须； 必然要； （做出逻辑推断）； （表示坚持） // n.必须做的事，必不可少的事物； 葡萄汁； 霉臭； 麝香 // vt.& vi.（表示必要或很重要）必须； （提出建议）应该； 得； （表示很可能或符合逻辑）一定 // adj.不可或缺的； 狂暴的
further |  adj. 更远的 // adv. 此外, 进一步地 // v. 促进, 推动 // vt. 促进
cautious |  adj. 十分小心的, 谨慎的
trivial |  adj. 琐碎的, 不重要的
kindergarten |  n. 幼儿园
correct |  adj. 正确的 // v. 改正,纠正 // vt. 改正
diary |  n. 日记,日记簿
emphasis |  n. 强调,重点
harden |  v. 变硬,使...坚强,涨价
cooperate |  vi. 合作,协力
grind |  n. 磨, 碾, 挤摩擦声, 无聊的苦工作 // vt. 磨, 碾, 挤压, 摇动手柄 // vi. 磨擦, 磨碎, 用功
file |  n. 档案,公文箱,锉刀,[计算机] 文件 // vt. 列队行进,归档,申请
literature |  n. 文学, 文献
keen |  adj. 锋利的,敏锐的,强烈的,精明的,热衷于
lantern |  n. 灯笼, [建筑学]天窗, 屋顶气窗
protein |  adj. 蛋白质的 // n. 蛋白质
thorough |  adj. 彻底的, 完全的, 精心的
guess |  n. 猜测,推测,猜想 // vt. &vi. 猜测,推测
report |  n. 传闻,报告,成绩单,爆炸声 // vt. 报告,报导,记录 // vi. 叙述,报告
independence |  n. 独立, 自主, 自立
wine |  n. 酒,葡萄酒,紫红色 // vt. &vi. 喝酒,请喝酒
cosy |  adj. 舒适温暖的，亲切友好的 // n. 保温套 // adv. 小心谨慎地 // =cozy（美）
gain |  n. 增益, 获得, 利润 // vt. 得到, 增进, 获利 // vi. 增加, 得到, (钟, 表等)走得快
patent |  n. 专利权,执照,专利品 // adj. 专利的,显著的,新奇的 // v. 取得...的专利权,请准专利
computer |  n. 计算机
consultant |  n. 顾问, 咨询专家
doctor |  n. 医生,博士 // vt. 医治,篡改,对...做手脚 // vi. 用药
few |  adj. 很少的,不多的,少数的 // int. 少数的 // adj. 少数的
striking |  adj. 引人注目的,显著的,罢工的,打击的 // n. 打击
heaven |  n. 天堂；天空
cliff |  n. 悬崖, 峭壁
academy |  n. 学院,学术,学会
garbage |  n. 垃圾, 食物残渣, 废物
durable |  adj. 耐用持久的 // n. (复)耐用品
however |  adv. 然而 // conj. 然而, 可是, 不过
bureau |  n. 局, 办公处
leading |  n. 领导, 疏导, 铅板 // adj. 领导的, 主要的, 在前的 // vbl. 领导, 引领, 以铅接合 // [计算机] 行间空白
dubious |  adj. 怀疑的,可疑的
hike |  n. 徒步旅行,远足,涨价 // vi. 远足,提高 // vt. 突然拉动或提高,涨...的价,徒步跋涉过
rectangle |  n. 长方形,矩形
personnel |  n.全体员工； （与复数动词连用）人员，员工； 人事部门
remain |  v. 保持, 依然, 剩余, 留下, 逗留 // n. 遗迹, 剩余物, 残骸
fund |  n.基金； 储备； 现款； 特别基金管理机构 // vt.积存； 为…提供资金； 提供资金偿付（债款等）的本息； 把（短期借款）转为有固定利息的长期借款
tonight |  n.&amp;adv. 今晚
ministry |  n. (政府的)部, (全体)牧师, 牧师工作
entail |  vt. 使必需,使蒙受;限定继承 // n. 限定继承权
hover |  vi. 盘旋,翱翔,徘徊 // n. 盘旋,翱翔,徘徊
painful | adj. 痛苦的
entrepreneur |  n. 企业家
or |  conj. 或者,还是 // prep.&amp;adv. 或者
aim |  n. 目标,对准, 枪法 // vt. 瞄准, 针对 // vi. 旨在, 瞄准, 打算
crew |  n. 全体船员, 全体乘务员 // vi. 一起工作
successful |  adj. 成功的,达到目的的
conceive |  vt. &vi. 构思,以为,怀孕
transcend |  v. 超越
valve |  n. 瓣膜,阀门,电子管,真空管
charge |  n. 电荷, 指控, 费用; 照顾, 责任 // vt. &vi 控诉, 加罪于, 要价, 赊帐, 充电, 管理
member |  n. 成员, 会员, 部位
gravity |  n. 地心引力,重力,严重,庄重,严肃
nowadays |  adv. 现今,现在 // n. 现今,当今
repair |  vi. 去，集合 // n. 修理, 补救 // v. 修理, 补救, 补偿 // n. 维修工作，维修状态
hatch |  n. 孵化,舱口 // vt. 孵,孵出 // vi. 孵化，破壳
raw |  adj. 生的,未加工的,原始的,不熟练的,寒冷的 // n. 触到某人的痛处
relief |  n.宽慰，安心； 免除，减轻； 救援物资； 代班人
shock |  n. 震动,冲突,震惊,休克 // vt. &vi.震动,冲突,使...受电击
stare |  vt. 凝视,显眼,变硬 // vi. 凝视 // n. 凝视
precede |  vt. &vi. 在...之前,优于,较...优先
curiosity |  n. 好奇, 好奇心
number |  n. 号码,数字 // v. 编号,加号码,总计 // vi. 总计 // vt. 编号
temperament |  n. 气质, 性质, 性情
location |  n. 地点,位置
private |  adj. 私人的，隐蔽的 // n. 士兵，列兵
convention |  n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
attention |  n. 注意(力),关心,立正
weekend |  n. 周末 // vi. 过周末 // adj. 周末的, 兼职的
agree |  vt. 同意,赞成,承认 // vi. 同意,一致,符合
knee |  n. 膝盖,像膝盖的东西,护膝,屈膝鞠躬 // vt. 用膝盖顶
depth |  n. 深度,强度,诚挚
housewife |  n. 家庭主妇 // n. 针线盒
void |  n. 空虚,空白, 真空 // adj. 空的,缺乏的,无效的 // vt. 清空,释放,取消,离开 // vi. 排泄
abundant |  adj. 丰富的,充裕的
metaphor |  n. 隐喻,暗喻
erase |  v. 抹去,擦掉 // [计算机] 擦除
wallet |  n. 皮夹,钱包
specialize |  vi.专门从事； 专攻； 详细说明； 特化 // vt.使专门化； 使适应特殊情况； 详细说明； 列举
grand |  adj. 豪华的,宏伟的,壮丽的,主要的,重大的 // n. (美俚)一千美元
different |  adj. 不同的,与众不同的
clarity |  n. 清楚, 透明
if |  conj. 如果，是否，即使 // n. 条件,设想
brim |  n. 边,边缘,(河)边 // v. 满,使...盈
horsepower |  n. 马力(功率单位)
scarf |  n. 围巾
earthquake |  n. 地震
hesitate |  vi. 犹豫, 停顿，口吃，迟疑，踌躇 // vt. 用犹疑的态度表示
explicit |  adj. 明确的,详述的，明晰的,外在的
dew |  n. 露水
clarify |  vt. 澄清,阐明,使...明晰
fold |  vt. 折叠；合拢；抱住；笼罩 // n. 折痕；信徒；羊栏 // vi. 折叠起来；彻底失败
ambitious |  adj. 热望的, 有雄心的, 有抱负的
upper |  adj. 上部的,地位较高的,上面的,北方的 // n. 鞋帮,上牙,兴奋剂,令人愉快的经历
polish |  n. 磨光，擦亮；擦亮剂；优雅，精良 // vi. 擦亮，变光滑 // vt. 磨光，使发亮；使完美; 改进 // v. 磨光；修改；润色 // adj. 波兰的
conversion |  n. 转变, 改变信仰, 换位
temporary |  adj. 暂时的,临时的 // n. 临时工
and |  conj. 和 // 逻辑与
refusal |  n. 拒绝, 回绝
adjust |  vt. 调整, 使...适于 // vi. 适应
medium |  n. 媒体, 方法, 媒介 // adj. 适中的, 中等的
manipulate |  v. 操纵,利用,假造 // [计算机] 操作
piano |  n. 钢琴 // adj. &adv. 轻柔的
destination |  n. 目的地,终点,景点
obsession |  n.[U]痴迷；困扰,成见 //  [C]使人痴迷的人（或物）
accompany |  vt. 陪伴, 伴随，给...伴奏 // vi. 伴奏
stop |  n. 停止,车站,滞留,阻挡 // vt. 停止,制止,塞住 // vi. 停止,停留,结束
no |  n. 不, 拒绝, 否决票 // adj. 没有, 不是, 绝非 // adv. 不
tempt |  vt. 诱惑；引起；冒…的风险；使感兴趣
mechanical |  adj. 机械的,力学的,呆板的    // n.(供制版用的)样书, 版面设计
critical |  adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
be |  prep. 是,有,在
her |  pron. 她的 // adj. 她的 // abbr. =heraldry
resent |  v. 愤恨,憎恶,怨恨
siege |  n. 包围, 围攻
giant |  adj. 巨大的 // n. 巨人,伟人,巨大的东西
bomb |  n. 炸弹,高压罐,火山口喷出的熔岩 // vt. 轰炸,大败,长传 // vi. 失败
fume |  n. 臭气, 烟, 激怒 // v. 熏, 冒烟
fruitful |  adj. 多产的, 富有成效的
regime |  n. 政权，政体；社会制度；管理体制
from |  prep. 从,从...起
hollow |  n. 洞, 窟窿, 山谷 // adj. 空的, 虚伪的, 空腹的 // vt. 形成空洞, 挖空 // vi. 形成空洞 // adv. 有闷哑声, 完全地
organism |  n. 生物体, 有机体
argument |  n. 辩论,争论,论点(据),理由
resource |  n. 资源,谋略,消遣
porter |  n. 搬运工,门房,(火车卧铺车厢或豪华车厢的)乘务员,(医院,商店中的)清洁工 // n. (旧时)黑啤酒 // n. 波特(人名)
gallop |  n. 疾驰,飞奔 // v. 飞驰,急速进行,急急忙忙的说
rarely |  adv. 很少,难得
overcome |  vt. 战胜,克服,(感情等)压倒, 使受不了 // vi. 获胜, 赢
call |  v.呼唤，喊叫； 召唤，叫来，召集； 下令，命令； 打电话给 // n.喊叫，大声喊； 电话联络； 必要，理由； 要求
leg |  n. 腿, 支柱, 裤脚管 // vi. 用脚走路
empirical |  adj. 经验主义的
knit |  vt. 编织, 密接, 结合, 皱眉 // vi. 编织, 变得紧凑, 愈合 // n. 编织
cylinder |  n. 汽缸, 圆筒, 圆柱体
dynamic |  adj. 动态的, (有)动力的, (有)力的; 有活力的 // n. 动力; 力学
substantial |  n. 重要部份, 本质 // adj. 大量的, 实质上的, 有内容的
destroy |  vt. &vi. 破坏,毁坏 // [计算机] 撤消
turkey |  n. (Turkey)土耳其,火鸡,笨蛋,失败之作
summon |  vt. 召唤,召集,振奋
poke |  n. 刺,戳,袋 // vt. 拨开,刺,戳 // vi. 戳,刺,捅,搜索,伸出,行动散慢
guard |  n. 守卫者,警戒, 护卫队, 保护 // vt. &vi. 保卫,看守,警惕
resistance |  n. 抵抗力,反抗,反抗行动;阻力,电阻;反对 // adj.  抵抗的
black |  adj.黑（色）的； 黑色人种的； 黑暗的 // n.黑色； 黑人； 黑颜料； 黑暗 // v.使变黑； 抵制； 拒绝； 使变黑暗
specific |  adj. 特殊的, 明确的, 具有特效的 // n. 特效药, 特性, 详情
custom |  n. 习惯, 风俗, 海关
him |  pron. 他(宾格)
January |  n. 一月
chill |  n. 寒冷,寒意,失意, 恐惧 // adj. 寒冷的,冷漠的，感冒的, 扫兴的 // vt. 使...寒心,冷冻,使...惊恐, 使泄气 // vi. 变冷，发抖, 凝固, 感到寒冷
snake |  n. 蛇 // vt.& vi. 蜿蜒,扭曲
cat |  n. 猫,猫科动物,邪恶的女人,吊锚机,单帆小船 // vt. 吊锚 // vi. 寻找性交伴侣 // (CAT) 电子计算机横断层扫描
symposium |  n. 讨论会(论文集, 酒会)
sense |  n. 侦测, 感官, 感觉; 理智; 意义 // vt. 感觉, 了解; 检测
cast |  n. 演员阵容, 投掷 // v. 投, 掷, 抛
crystal |  adj. 清澈透明的, 晶体的 // n. 水晶, 结晶
ancestor |  n. 祖宗,祖先,原种
politician |  n. 政治家, 政客
parliament |  n. 议会, 国会
calm |  n. 平稳,风平浪静 // adj. 平静的,冷静的 // vt.&vi. 平静下来,镇静
gallon |  n. 加仑(容量单位)
Negro |  adj. 黑人的 // n.(含歧视意味)黑人
viewpoint |  n. 观点, 看法
replacement |  n. 交换,更换,代替者
kilo |  pref. 表示“千” // abbr. 千克，公斤(=kilogram/kilogramme)
lightning |  n. 闪电 // adj. 闪电般的, 快速的 // vi. 打闪
dull |  adj. 呆滞的,迟钝的,无趣的,钝的,暗的 // vt. 使变钝 // vi. 变钝
million |  n. 百万,(the millions)群众 // adj. 百万的,无数的
anger |  n. 怒，愤怒；忿怒 // vt. 使发怒，激怒；恼火 // vi. 发怒；恼火
blast |  n. 爆破,冲击波,气流,一阵,汽笛声 // vi. 爆破,突然发出声音 // vt. 喷射,炸掉
astronomy |  n. 天文学
rank |  n. 队列,排名,等级,军衔,阶级 // adj. 繁茂的,恶臭的,讨厌的 // vt. 排列,归类于
proud |  adj. 骄傲的, 自豪的, 壮观的
siren |  n. 汽笛, 警报器
radio |  n. 收音机,无线电 // vt.& vi. 用无线电通讯
occupy |  vt. 占领,占,住进
drop |  n. 滴,微量,落下 // vt. 使落下，减少 // vi. 落下，减少，减弱
frighten |  v. 使惊吓, 惊恐
marriage |  n. 婚姻,结婚
